timestamp,message
Timestamp,Message
17:51:20,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,9,15,21,205,0.00,""}"
17:52:20,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,15,24,34,181,0.00,""}"
17:53:21,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,15,24,34,182,0.00,""}"
17:54:21,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,15,24,34,182,0.00,""}"
17:55:21,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,27,9,15,21,184,0.00,""}"
17:56:22,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,27,9,15,21,227,0.00,""}"
17:57:22,"{""id"": ""7d80e4e0"",""data"": ""ht120av|74,27,9,15,21,205,0.55,""}"
17:58:22,"{""id"": ""7d80e4e0"",""data"": ""ht120av|74,27,9,15,21,273,1.09,""}"
17:59:22,"{""id"": ""7d80e4e0"",""data"": ""ht120av|74,27,9,15,21,228,0.73,""}"
18:0:23,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,229,0.00,""}"
18:1:24,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,228,0.00,""}"
18:2:23,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,228,0.00,""}"
18:3:24,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,227,0.00,""}"
18:4:24,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,115,0.00,""}"
18:5:24,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,228,0.66,""}"
18:6:24,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,227,0.00,""}"
18:7:25,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,183,0.00,""}"
18:8:25,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,229,1.51,""}"
18:9:25,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,227,0.62,""}"
18:10:26,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,250,0.00,""}"
18:11:26,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,205,5.02,""}"
18:12:26,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,229,1.73,""}"
18:13:27,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,250,0.33,""}"
18:14:27,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,227,0.00,""}"
18:15:27,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,250,0.82,""}"
18:16:27,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,319,0.13,""}"
18:17:28,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,205,0.31,""}"
18:18:28,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,274,0.51,""}"
18:19:28,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,205,2.67,""}"
18:20:29,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,228,1.69,""}"
18:21:29,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,251,1.38,""}"
18:22:29,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,229,2.67,""}"
18:23:29,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,228,2.44,""}"
18:24:30,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,210,2.38,""}"
18:25:30,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,274,0.82,""}"
18:26:30,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,227,5.16,""}"
18:27:31,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,250,4.09,""}"
18:28:31,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,250,1.18,""}"
18:29:31,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,251,0.00,""}"
18:30:31,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,228,0.00,""}"
18:31:32,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,28,9,15,21,229,2.69,""}"
18:32:32,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,28,9,15,21,228,1.51,""}"
18:33:32,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,28,9,15,21,228,0.91,""}"
18:34:33,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,28,9,15,21,273,1.15,""}"
18:35:33,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,28,9,15,21,228,0.29,""}"
18:36:33,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,28,9,15,21,229,1.51,""}"
18:37:34,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,28,9,15,21,251,0.75,""}"
18:38:34,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,28,9,15,21,251,1.00,""}"
18:39:34,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,28,9,15,21,250,0.57,""}"
18:40:34,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,28,9,15,21,22,0.84,""}"
18:41:35,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,28,9,15,21,22,5.56,""}"
18:42:35,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,227,1.49,""}"
18:43:35,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,296,0.20,""}"
18:44:36,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,298,0.66,""}"
18:45:36,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,296,1.11,""}"
18:46:36,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,228,3.27,""}"
18:47:36,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,227,1.73,""}"
18:48:37,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,271,3.36,""}"
18:49:37,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,298,3.42,""}"
18:50:38,"{""id"": ""7d80e4e0"",""data"": ""ht120av|72,27,9,15,21,297,0.00,""}"
18:51:38,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,296,0.77,""}"
18:52:38,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,228,2.44,""}"
18:53:38,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,227,2.58,""}"
18:54:39,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,228,2.00,""}"
18:55:39,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,296,1.44,""}"
18:56:39,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,296,1.95,""}"
18:57:39,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,297,6.56,""}"
18:58:40,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,298,0.00,""}"
18:59:40,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,296,0.00,""}"
19:0:40,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,296,0.00,""}"
19:1:41,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,297,0.00,""}"
19:2:41,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,296,0.00,""}"
19:3:41,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,251,0.35,""}"
19:4:41,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,204,2.11,""}"
19:5:42,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,228,1.93,""}"
19:6:42,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,227,0.62,""}"
19:7:42,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,228,7.27,""}"
19:8:43,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,275,1.69,""}"
19:9:43,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,274,1.95,""}"
19:10:43,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,273,1.89,""}"
19:11:43,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,227,2.07,""}"
19:12:44,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,229,2.93,""}"
19:13:44,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,227,3.47,""}"
19:14:44,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,229,2.51,""}"
19:15:45,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,228,4.07,""}"
19:16:45,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,227,2.98,""}"
19:17:45,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,229,6.22,""}"
19:18:45,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,251,2.75,""}"
19:19:46,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,205,2.18,""}"
19:20:46,"{""id"": ""7d80e4e0"",""data"": ""ht120av|74,27,9,15,21,251,2.89,""}"
19:21:46,"{""id"": ""7d80e4e0"",""data"": ""ht120av|74,27,9,15,21,205,0.00,""}"
19:22:47,"{""id"": ""7d80e4e0"",""data"": ""ht120av|73,27,9,15,21,227,0.00,""}"
19:23:47,"{""id"": ""7d80e4e0"",""data"": ""ht120av|74,27,9,15,21,227,0.00,""}"
19:24:47,"{""id"": ""7d80e4e0"",""data"": ""ht120av|74,27,9,15,21,228,5.56,""}"
19:25:47,"{""id"": ""7d80e4e0"",""data"": ""ht120av|74,27,9,15,21,250,0.00,""}"
